1698763966607777536.000000,0.000000,0.133145,-2.715520,0.270200,2.838541,
1698763966637747712.000000,0.000000,0.121309,-2.732397,0.302292,2.838279,
1698763966676747520.000000,0.000000,0.109830,-2.753029,0.346819,2.837778,
1698763966706747648.000000,0.000000,0.103814,-2.769075,0.379136,2.837401,
1698763966736717056.000000,0.000000,0.091981,-2.784438,0.411887,2.837025,
1698763966775717120.000000,0.000000,0.086655,-2.803078,0.458079,2.836738,
1698763966805716992.000000,0.000000,0.073642,-2.817567,0.491509,2.836433,
1698763966835687168.000000,0.000000,0.060917,-2.831363,0.525104,2.836164,
1698763966874687232.000000,0.000000,0.055411,-2.847757,0.571554,2.835800,
1698763966904687104.000000,0.000000,0.043551,-2.860441,0.605186,2.835603,
1698763966934657536.000000,0.000000,0.031618,-2.872638,0.639205,2.835510,
1698763966973657600.000000,0.000000,0.026981,-2.887385,0.686229,2.835726,
1698763967003657472.000000,0.000000,0.017224,-2.898795,0.720458,2.835937,
1698763967043627776.000000,0.000000,0.005150,-2.912272,0.767217,2.836502,
1698763967072627712.000000,0.000000,-0.006184,-2.921103,0.802898,2.837187,
1698763967112627712.000000,0.000000,-0.012309,-2.933407,0.849229,2.838130,
1698763967142597376.000000,0.000000,-0.024061,-2.941439,0.885449,2.838950,
1698763967171597312.000000,0.000000,-0.029704,-2.949106,0.921900,2.839905,
1698763967211597312.000000,0.000000,-0.042420,-2.959702,0.968818,2.841077,
1698763967241567744.000000,0.000000,-0.054478,-2.965847,1.005031,2.841882,
1698763967271567616.000000,0.000000,-0.059770,-2.971303,1.041342,2.842519,
1698763967310567680.000000,0.000000,-0.071266,-2.979155,1.088040,2.843393,
1698763967340538112.000000,0.000000,-0.082173,-2.983517,1.123916,2.843668,
1698763967370538240.000000,0.000000,-0.092811,-2.987415,1.159525,2.843772,
1698763967409538048.000000,0.000000,-0.100076,-2.993364,1.205273,2.843876,
1698763967439508992.000000,0.000000,-0.110345,-2.996585,1.240500,2.843915,
1698763967469509120.000000,0.000000,-0.115377,-2.999424,1.275580,2.844031,
1698763967508508928.000000,0.000000,-0.126864,-3.003932,1.320750,2.844168,
1698763967538479616.000000,0.000000,-0.139612,-3.006799,1.354665,2.844500,
1698763967568479488.000000,0.000000,-0.143148,-3.008078,1.389979,2.845031,
1698763967607479552.000000,0.000000,-0.155872,-3.010568,1.435321,2.845732,
1698763967637450240.000000,0.000000,-0.166755,-3.011876,1.468999,2.846313,
1698763967667450368.000000,0.000000,-0.177448,-3.011581,1.503054,2.847013,
1698763967706450432.000000,0.000000,-0.183268,-3.012001,1.546933,2.847914,
1698763967736421376.000000,0.000000,-0.195956,-3.011947,1.579744,2.848955,
1698763967776421376.000000,0.000000,-0.207896,-3.010205,1.624275,2.851418,
1698763967805421568.000000,0.000000,-0.214093,-3.009535,1.656408,2.853005,
1698763967835390720.000000,0.000000,-0.226152,-3.008472,1.688652,2.854817,
1698763967875390720.000000,0.000000,-0.238249,-3.005503,1.732707,2.857874,
1698763967905390592.000000,0.000000,-0.244478,-3.003956,1.764786,2.859933,
1698763967934361600.000000,0.000000,-0.256746,-3.001881,1.796535,2.861907,
1698763967974361600.000000,0.000000,-0.262455,-2.997272,1.839444,2.864651,
1698763968004361472.000000,0.000000,-0.275451,-2.994526,1.870544,2.866524,
1698763968034333696.000000,0.000000,-0.288488,-2.991301,1.901865,2.868262,
1698763968073333760.000000,0.000000,-0.294223,-2.985356,1.944634,2.870497,
1698763968103333632.000000,0.000000,-0.305917,-2.981482,1.975675,2.872006,
1698763968142304768.000000,0.000000,-0.318302,-2.975044,2.017104,2.873935,
1698763968172304640.000000,0.000000,-0.328192,-2.969243,2.048170,2.875397,
1698763968202304768.000000,0.000000,-0.333377,-2.963896,2.078407,2.876695,
1698763968242275328.000000,0.000000,-0.343024,-2.955746,2.118778,2.878360,
1698763968271275264.000000,0.000000,-0.347431,-2.948800,2.149001,2.879458,
1698763968301275136.000000,0.000000,-0.357361,-2.942342,2.178323,2.880478,
1698763968341245952.000000,0.000000,-0.366554,-2.932337,2.217668,2.881693,
1698763968370245888.000000,0.000000,-0.370299,-2.923879,2.247070,2.882497,
1698763968410245888.000000,0.000000,-0.379690,-2.913245,2.285064,2.883314,
1698763968440218112.000000,0.000000,-0.389211,-2.903767,2.314025,2.883955,
1698763968469218304.000000,0.000000,-0.393543,-2.893748,2.343045,2.884572,
1698763968509218304.000000,0.000000,-0.404497,-2.881289,2.380357,2.885369,
1698763968539189760.000000,0.000000,-0.412508,-2.870663,2.408782,2.886166,
1698763968568189696.000000,0.000000,-0.416729,-2.859817,2.436960,2.887262,
1698763968608189696.000000,0.000000,-0.426986,-2.846048,2.473450,2.889246,
1698763968638161408.000000,0.000000,-0.435721,-2.834393,2.501233,2.891237,
1698763968668161280.000000,0.000000,-0.438113,-2.822351,2.528713,2.893861,
1698763968707161344.000000,0.000000,-0.446824,-2.806984,2.564435,2.898612,
1698763968737133056.000000,0.000000,-0.454575,-2.795184,2.590936,2.903259,
1698763968767132928.000000,0.000000,-0.461054,-2.782116,2.618019,2.908791,
1698763968806132992.000000,0.000000,-0.464476,-2.765391,2.652899,2.918284,
1698763968836105216.000000,0.000000,-0.471312,-2.752286,2.678849,2.926927,
1698763968866105344.000000,0.000000,-0.477052,-2.737839,2.705098,2.936848,
1698763968905105408.000000,0.000000,-0.480711,-2.718943,2.739129,2.952348,
1698763968935076352.000000,0.000000,-0.485991,-2.704125,2.764579,2.965348,
1698763968965076480.000000,0.000000,-0.489132,-2.687521,2.790329,2.979268,
