1698082795560168448.000000,0.000000,2.743021,3.612266,6.501235,2.272965,
1698082795589168384.000000,0.000000,2.730925,3.603663,6.476632,2.271610,
1698082795625168384.000000,0.000000,2.724110,3.590597,6.443956,2.269507,
1698082795661132288.000000,0.000000,2.713378,3.578793,6.411469,2.267218,
1698082795697132288.000000,0.000000,2.702597,3.566105,6.379097,2.264548,
1698082795728132096.000000,0.000000,2.698953,3.555255,6.354932,2.262269,
1698082795764097024.000000,0.000000,2.691108,3.542989,6.322870,2.258412,
1698082795797097216.000000,0.000000,2.681404,3.528623,6.290863,2.254136,
1698082795824097280.000000,0.000000,2.676994,3.516520,6.266878,2.250711,
1698082795856065536.000000,0.000000,2.669979,3.504907,6.242693,2.247009,
1698082795892065792.000000,0.000000,2.664144,3.488595,6.210382,2.241758,
1698082795925065728.000000,0.000000,2.662078,3.470173,6.178117,2.236334,
1698082795961030912.000000,0.000000,2.660357,3.453053,6.145192,2.230447,
1698082795988030976.000000,0.000000,2.658112,3.439617,6.120378,2.225964,
1698082796028030976.000000,0.000000,2.657423,3.419831,6.087373,2.220128,
1698082796054997504.000000,0.000000,2.657585,3.405962,6.062240,2.215812,
1698082796087997440.000000,0.000000,2.656608,3.385595,6.028849,2.210227,
1698082796123997696.000000,0.000000,2.657282,3.363198,5.995599,2.204786,
1698082796164968704.000000,0.000000,2.657207,3.342303,5.961865,2.199754,
1698082796191968768.000000,0.000000,2.658623,3.326114,5.936479,2.196156,
1698082796224968704.000000,0.000000,2.658844,3.302962,5.902894,2.191548,
1698082796260937728.000000,0.000000,2.658952,3.281061,5.869394,2.187189,
1698082796287937536.000000,0.000000,2.658865,3.264167,5.844303,2.184074,
1698082796324937728.000000,0.000000,2.658091,3.239864,5.811099,2.180210,
1698082796360905472.000000,0.000000,2.659649,3.216933,5.777497,2.176291,
1698082796396905472.000000,0.000000,2.658749,3.193421,5.744479,2.172605,
1698082796423905280.000000,0.000000,2.659352,3.174184,5.719617,2.169870,
1698082796459873280.000000,0.000000,2.657456,3.149876,5.686199,2.166225,
1698082796491873280.000000,0.000000,2.656977,3.131029,5.661294,2.163543,
1698082796527873536.000000,0.000000,2.656126,3.104464,5.628428,2.160288,
1698082796554840064.000000,0.000000,2.654206,3.086157,5.603020,2.157594,
1698082796590840064.000000,0.000000,2.651654,3.060264,5.569582,2.154169,
1698082796627840000.000000,0.000000,2.650787,3.032693,5.536648,2.150988,
1698082796660808448.000000,0.000000,2.649362,3.006603,5.503919,2.147909,
1698082796696808448.000000,0.000000,2.646701,2.979808,5.471595,2.144868,
1698082796723808256.000000,0.000000,2.646334,2.958637,5.447770,2.142630,
1698082796759773696.000000,0.000000,2.644562,2.932338,5.415604,2.139569,
1698082796791773696.000000,0.000000,2.643164,2.912310,5.391643,2.137317,
1698082796827773952.000000,0.000000,2.642186,2.884196,5.360256,2.134412,
1698082796863739904.000000,0.000000,2.640582,2.857276,5.329045,2.131314,
1698082796890739968.000000,0.000000,2.638118,2.836755,5.305956,2.128938,
1698082796926739968.000000,0.000000,2.636750,2.808019,5.275806,2.125671,
1698082796962706688.000000,0.000000,2.635288,2.781874,5.245336,2.122320,
1698082796998706688.000000,0.000000,2.631542,2.754040,5.215538,2.119062,
1698082797025706752.000000,0.000000,2.630531,2.732082,5.193728,2.116634,
1698082797061673984.000000,0.000000,2.627048,2.704468,5.164326,2.113523,
1698082797097673984.000000,0.000000,2.623034,2.676143,5.135444,2.110453,
1698082797126673920.000000,0.000000,2.619047,2.652426,5.113212,2.108049,
1698082797162642944.000000,0.000000,2.613164,2.625438,5.084828,2.105203,
1698082797188643072.000000,0.000000,2.608015,2.604069,5.064046,2.103061,
1698082797229643008.000000,0.000000,2.603987,2.571129,5.035013,2.099969,
1698082797256610560.000000,0.000000,2.598847,2.550006,5.014642,2.097834,
1698082797292610560.000000,0.000000,2.591396,2.521799,4.987771,2.095033,
1698082797328610560.000000,0.000000,2.589292,2.492208,4.961658,2.092368,
1698082797360578560.000000,0.000000,2.582506,2.468599,4.939723,2.090358,
1698082797396578560.000000,0.000000,2.576035,2.439933,4.913788,2.088125,
1698082797423578624.000000,0.000000,2.573328,2.417562,4.894848,2.086527,
1698082797459546624.000000,0.000000,2.567383,2.389771,4.869776,2.084152,
1698082797490546688.000000,0.000000,2.561490,2.365448,4.849820,2.082201,
1698082797526546688.000000,0.000000,2.559256,2.336170,4.826288,2.079950,
1698082797553514496.000000,0.000000,2.554362,2.315616,4.807887,2.077832,
1698082797594514432.000000,0.000000,2.549109,2.286355,4.784044,2.075207,
1698082797621514496.000000,0.000000,2.546004,2.263908,4.767061,2.073311,
1698082797657479936.000000,0.000000,2.542412,2.234663,4.744706,2.070544,
1698082797690479872.000000,0.000000,2.536562,2.205759,4.722738,2.067560,
1698082797726479872.000000,0.000000,2.533791,2.175461,4.701614,2.064435,
1698082797763447296.000000,0.000000,2.528877,2.147381,4.679951,2.061014,
1698082797790447104.000000,0.000000,2.520913,2.125213,4.664308,2.058341,
1698082797826447104.000000,0.000000,2.517708,2.094350,4.644101,2.054727,
1698082797853416448.000000,0.000000,2.511100,2.072228,4.628729,2.051824,
1698082797891416576.000000,0.000000,2.501995,2.042739,4.608359,2.047913,
1698082797927416320.000000,0.000000,2.498217,2.011721,4.588684,2.043962,
1698082797954384384.000000,0.000000,2.489408,1.990348,4.573218,2.040827,
1698082797990384384.000000,0.000000,2.479043,1.960319,4.553188,2.036505,
1698082798027384320.000000,0.000000,2.473659,1.928704,4.533759,2.032217,
