interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
0,-61.494017551525765,15.371266050295517
1,-61.49399873073667,15.371303295693671
2,-61.493980232064935,15.371340230030988
3,-61.49396205551061,15.371376853307474
4,-61.493944201073646,15.371413165523132
5,-61.493926668754085,15.37144916667796
6,-61.49390945855195,15.37148485677197
7,-61.49389257046716,15.371520235805152
8,-61.49387600449977,15.371555303777491
9,-61.493859760649784,15.371590060689012
10,-61.49384383891715,15.371624506539703
11,-61.49382823930196,15.371658641329573
12,-61.49381296180413,15.371692465058608
13,-61.49379800642366,15.371725977726804
14,-61.493783373160625,15.37175917933419
15,-61.493769062014955,15.371792069880739
16,-61.49375507298669,15.37182464936646
17,-61.493741406075785,15.371856917791348
18,-61.493728061282276,15.371888875155413
19,-61.493715038606176,15.371920521458652
20,-61.49370233804745,15.371951856701056
21,-61.49368995960615,15.371982880882648
22,-61.49367790328219,15.372013594003395
23,-61.49366616907564,15.372043996063319
24,-61.49365475698647,15.372074087062414
25,-61.493643667014695,15.372103867000678
26,-61.493632899160325,15.37213333587812
27,-61.493622453423306,15.372162493694729
28,-61.493612329803696,15.372191340450511
29,-61.49360252830147,15.372219876145463
30,-61.493593048916644,15.372248100779592
31,-61.493583891649195,15.372276014352884
32,-61.49357505649914,15.372303616865356
33,-61.49356654346648,15.372330908316995
34,-61.493558352551204,15.372357888707812
35,-61.49355048375331,15.372384558037792
36,-61.49354293707281,15.372410916306949
37,-61.49353571250972,15.372436963515277
38,-61.493528810063985,15.372462699662776
39,-61.493522229735646,15.372488124749447
40,-61.493515971524694,15.372513238775287
41,-61.49351003543114,15.372538041740304
42,-61.493504421454986,15.372562533644489
43,-61.493499129596216,15.372586714487849
44,-61.49349415985482,15.372610584270376
45,-61.49348951223083,15.372634142992082
46,-61.493485186724214,15.372657390652954
47,-61.49348118333499,15.372680327252997
48,-61.49347750206316,15.372702952792213
49,-61.49347414290871,15.372725267270601
50,-61.493471105871656,15.372747270688162
51,-61.493468390951996,15.372768963044894
52,-61.49346599814972,15.372790344340796
53,-61.49346392746483,15.372811414575873
54,-61.493462178897325,15.372832173750117
55,-61.49346075244722,15.372852621863538
56,-61.493459648114495,15.372872758916127
57,-61.493458865899164,15.372892584907888
58,-61.49345840580121,15.372912099838823
59,-61.493458267820664,15.372931303708928
60,-61.493458451957494,15.372950196518206
61,-61.49345895821172,15.372968778266653
62,-61.493459786583344,15.372987048954275
63,-61.49346093707234,15.373005008581067
64,-61.49346240967873,15.37302265714703
65,-61.4934642044025,15.373039994652165
66,-61.493466321243666,15.373057021096473
67,-61.493468760202234,15.373073736479954
68,-61.49347152127818,15.373090140802605
69,-61.49347460447151,15.373106234064428
70,-61.49347800978223,15.37312201626542
71,-61.493481737210345,15.373137487405588
72,-61.49348578675583,15.373152647484924
73,-61.49349015841872,15.373167496503433
74,-61.493494852199014,15.373182034461115
75,-61.49349986809666,15.373196261357966
76,-61.49350520611172,15.373210177193991
77,-61.49351086624418,15.373223781969191
78,-61.49351684849401,15.373237075683557
79,-61.49352315286123,15.373250058337096
80,-61.493529779345835,15.373262729929806
81,-61.49353672794783,15.37327509046169
82,-61.49354399866722,15.373287139932742
83,-61.493551591504,15.37329887834297
84,-61.49355950645816,15.373310305692371
85,-61.49356774352974,15.37332142198094
86,-61.493576302718665,15.373332227208682
87,-61.493585184025,15.373342721375595
88,-61.49359438744873,15.37335290448168
89,-61.49360391298983,15.373362776526937
90,-61.49361376064833,15.373372337511364
91,-61.49362393042422,15.373381587434967
92,-61.493634422317506,15.373390526297737
93,-61.49364523632817,15.37339915409968
94,-61.49365637245622,15.373407470840796
95,-61.49366783070167,15.373415476521085
96,-61.4936796110645,15.373423171140544
97,-61.49369171354472,15.373430554699173
98,-61.493704138142334,15.373437627196978
99,-61.49371688485732,15.373444388633947
100,-61.493729953689716,15.373450839010095
101,-61.4937433446395,15.373456978325414
102,-61.49375705770666,15.373462806579903
103,-61.49377109289122,15.373468323773565
104,-61.49378545019316,15.373473529906395
105,-61.493800129612495,15.373478424978401
