interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
0,-61.47346355073146,15.400513226550501
1,-61.47347739083248,15.400522923632508
2,-61.47349118472411,15.400532569178718
3,-61.4735049324064,15.400542163189135
4,-61.47351863387932,15.400551705663764
5,-61.47353228914289,15.400561196602599
6,-61.47354589819711,15.400570636005646
7,-61.47355946104195,15.400580023872896
8,-61.47357297767745,15.400589360204357
9,-61.473586448103596,15.400598645000025
10,-61.473599872320364,15.400607878259905
11,-61.47361325032777,15.40061705998399
12,-61.47362658212584,15.40062619017228
13,-61.47363986771453,15.400635268824782
14,-61.47365310709386,15.400644295941486
15,-61.47366630026384,15.400653271522408
16,-61.47367944722446,15.400662195567538
17,-61.473692547975716,15.400671068076868
18,-61.47370560251761,15.400679889050405
19,-61.473718610850156,15.40068865848816
20,-61.47373157297333,15.400697376390115
21,-61.47374448888717,15.400706042756283
22,-61.47375735859163,15.40071465758666
23,-61.47377018208673,15.400723220881243
24,-61.47378295937248,15.400731732640033
25,-61.47379569044888,15.400740192863033
26,-61.4738083753159,15.400748601550239
27,-61.47382101397358,15.400756958701656
28,-61.473833606421884,15.400765264317283
29,-61.47384615266084,15.400773518397113
30,-61.47385865269043,15.400781720941154
31,-61.47387110651067,15.400789871949405
32,-61.47388351412154,15.400797971421857
33,-61.47389587552304,15.400806019358521
34,-61.473908190715214,15.400814015759396
35,-61.473920459697986,15.400821960624475
36,-61.47393268247146,15.40082985395377
37,-61.47394485903555,15.400837695747267
38,-61.47395698939024,15.400845486004968
39,-61.47396907353562,15.400853224726882
40,-61.47398111147163,15.400860911913009
41,-61.47399310319826,15.400868547563336
42,-61.474005048715554,15.40087613167788
43,-61.47401694802348,15.400883664256627
44,-61.47402880112205,15.40089114529958
45,-61.474040608011244,15.40089857480674
46,-61.4740523686911,15.400905952778114
47,-61.474064083161586,15.400913279213691
48,-61.47407575142271,15.400920554113476
49,-61.4740873734745,15.400927777477476
50,-61.47409894931691,15.400934949305677
51,-61.47411047894994,15.40094206959809
52,-61.47412196237366,15.400949138354713
53,-61.474133399588,15.40095615557554
54,-61.474144790592966,15.400963121260578
55,-61.474156135388576,15.400970035409822
56,-61.474167433974856,15.400976898023279
57,-61.47417868635175,15.400983709100936
58,-61.474189892519284,15.400990468642808
59,-61.474201052477476,15.400997176648886
60,-61.47421216622627,15.401003833119166
61,-61.474223233765755,15.401010438053666
62,-61.474234255095844,15.401016991452364
63,-61.474245230216596,15.401023493315275
64,-61.47425615912798,15.401029943642396
65,-61.47426704183002,15.401036342433725
66,-61.47427787832268,15.401042689689257
67,-61.47428866860599,15.401048985409002
68,-61.474299412679954,15.401055229592956
69,-61.474310110544536,15.401061422241114
