1698770554645999104.000000,0.000000,-1.827909,3.443852,4.153500,9.087948,
1698770554672999168.000000,0.000000,-1.834131,3.467534,4.138731,9.089794,
1698770554703999232.000000,0.000000,-1.839515,3.491226,4.123940,9.091689,
1698770554746001920.000000,0.000000,-1.842212,3.530369,4.098789,9.094928,
1698770554773001984.000000,0.000000,-1.849761,3.553502,4.083280,9.097001,
1698770554800002048.000000,0.000000,-1.855992,3.576425,4.067649,9.099030,
1698770554841006080.000000,0.000000,-1.859006,3.606471,4.046693,9.101623,
1698770554877006080.000000,0.000000,-1.866349,3.636034,4.025817,9.104559,
1698770554910006016.000000,0.000000,-1.873406,3.665159,4.004660,9.107244,
1698770554942011136.000000,0.000000,-1.875841,3.686606,3.988664,9.109112,
1698770554977011200.000000,0.000000,-1.880055,3.714819,3.967233,9.111444,
1698770555010011136.000000,0.000000,-1.884383,3.742774,3.945593,9.113550,
1698770555038014464.000000,0.000000,-1.886722,3.763625,3.929153,9.115054,
1698770555075014656.000000,0.000000,-1.890270,3.791293,3.907044,9.117065,
1698770555111014400.000000,0.000000,-1.894470,3.818923,3.884899,9.119038,
1698770555138017536.000000,0.000000,-1.897710,3.839767,3.868024,9.120474,
1698770555174017536.000000,0.000000,-1.902688,3.867819,3.845004,9.122390,
1698770555211017728.000000,0.000000,-1.908778,3.895949,3.821998,9.124331,
1698770555239021056.000000,0.000000,-1.911779,3.916968,3.804651,9.125750,
1698770555274021120.000000,0.000000,-1.920478,3.944862,3.781395,9.127718,
1698770555310021120.000000,0.000000,-1.928206,3.972760,3.758226,9.129679,
1698770555339025920.000000,0.000000,-1.932725,3.993662,3.740872,9.131273,
1698770555375025664.000000,0.000000,-1.940412,4.021303,3.717764,9.133673,
1698770555411025920.000000,0.000000,-1.949187,4.048921,3.694815,9.136264,
1698770555438029312.000000,0.000000,-1.953962,4.069539,3.677791,9.138303,
1698770555475029504.000000,0.000000,-1.961491,4.097072,3.655517,9.141147,
1698770555511029248.000000,0.000000,-1.969139,4.124922,3.633181,9.144283,
1698770555539034112.000000,0.000000,-1.974706,4.145454,3.616565,9.146780,
1698770555576034304.000000,0.000000,-1.981460,4.172739,3.594114,9.150190,
1698770555603034112.000000,0.000000,-1.988224,4.193090,3.577323,9.152925,
1698770555639037440.000000,0.000000,-1.991088,4.219989,3.554983,9.156599,
1698770555675037696.000000,0.000000,-1.997552,4.246647,3.532827,9.160401,
1698770555713037568.000000,0.000000,-2.001786,4.273006,3.510585,9.164101,
1698770555740040960.000000,0.000000,-2.003649,4.292639,3.493990,9.166862,
1698770555775041024.000000,0.000000,-2.008152,4.318641,3.471790,9.170307,
1698770555803040768.000000,0.000000,-2.013294,4.338055,3.454988,9.172745,
1698770555840043520.000000,0.000000,-2.015813,4.363882,3.432409,9.175704,
1698770555876043520.000000,0.000000,-2.021765,4.389292,3.409645,9.178444,
1698770555903043584.000000,0.000000,-2.028388,4.408302,3.392322,9.180264,
1698770555939050496.000000,0.000000,-2.031022,4.433577,3.368982,9.182529,
1698770555980050432.000000,0.000000,-2.036690,4.459222,3.345364,9.184361,
1698770556007050240.000000,0.000000,-2.044920,4.478292,3.327423,9.185620,
1698770556043055616.000000,0.000000,-2.048066,4.503568,3.303222,9.187047,
1698770556067055616.000000,0.000000,-2.055925,4.522441,3.284975,9.188087,
1698770556104055552.000000,0.000000,-2.061285,4.547359,3.260199,9.189203,
1698770556140060416.000000,0.000000,-2.064850,4.572106,3.235012,9.190228,
1698770556176060416.000000,0.000000,-2.071139,4.596431,3.209158,9.191275,
1698770556203060224.000000,0.000000,-2.077206,4.614682,3.189445,9.191969,
1698770556241063424.000000,0.000000,-2.081272,4.638976,3.162971,9.192858,
1698770556277063424.000000,0.000000,-2.088026,4.663504,3.136340,9.193916,
1698770556313063424.000000,0.000000,-2.094526,4.687997,3.109337,9.194936,
1698770556341069312.000000,0.000000,-2.098275,4.706228,3.088770,9.195881,
1698770556377069312.000000,0.000000,-2.104929,4.730085,3.060910,9.197357,
1698770556404069376.000000,0.000000,-2.110931,4.747859,3.039921,9.198690,
1698770556440073472.000000,0.000000,-2.114394,4.771117,3.011715,9.200677,
1698770556472073472.000000,0.000000,-2.119990,4.788067,2.990594,9.202531,
1698770556508073472.000000,0.000000,-2.126878,4.810142,2.962101,9.205070,
1698770556544076800.000000,0.000000,-2.129365,4.831415,2.933431,9.207949,
1698770556577076736.000000,0.000000,-2.134665,4.852038,2.904527,9.211123,
1698770556605076736.000000,0.000000,-2.141763,4.867081,2.882639,9.213788,
1698770556641079552.000000,0.000000,-2.145965,4.886647,2.853199,9.217483,
