interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
0,-61.44675666666665,15.30084333333333
1,-61.4467583332974,15.300842684637406
2,-61.44675999999999,15.300841666666663
3,-61.44676166666667,15.30084
4,-61.44676333265093,15.300836008110814
5,-61.446765000000006,15.300831666666667
6,-61.44676667086882,15.300829230756221
7,-61.446768333333345,15.300828333333335
8,-61.44676997546953,15.300828607351871
9,-61.44677166666665,15.30082833333333
10,-61.44677347631394,15.300825791799218
11,-61.44677500000001,15.300823333333335
12,-61.446775833313424,15.300823308519487
13,-61.446776666666665,15.300823333333332
14,-61.446778190472216,15.30082102375054
15,-61.44678,15.300818333333336
16,-61.44678169051993,15.300817215643942
17,-61.44678333333334,15.300816666666664
18,-61.446784999741574,15.300815682385814
19,-61.44678666666668,15.300815000000005
20,-61.44678833333332,15.300814999999998
21,-61.446790133557144,15.300813542138695
22,-61.44679166666666,15.300811666666668
23,-61.44679250968779,15.300810770542336
24,-61.446793333333325,15.300809999999995
25,-61.446794808316085,15.300808501273938
26,-61.44679666666667,15.300806666666675
27,-61.44679833333333,15.300805
28,-61.446797965822014,15.300804170389672
29,-61.44679833333331,15.300803333333329
30,-61.44680166666666,15.300801666666667
31,-61.446802892921205,15.300799973533689
32,-61.446803333333335,15.300798333333333
33,-61.446805154622936,15.300796691607214
34,-61.44680666666666,15.300794999999997
35,-61.44680666666667,15.300793333333331
36,-61.446808078575906,15.300792430669091
37,-61.446810000000006,15.300791666666669
38,-61.44681104121909,15.300790292808468
39,-61.44681166666667,15.300788333333337
40,-61.446812340776276,15.300785812480115
41,-61.44681333333332,15.300783333333332
42,-61.446814914123195,15.300781498977512
43,-61.44681666666667,15.300780000000001
44,-61.44681833333334,15.300778333333335
45,-61.446820867216225,15.300775337048664
46,-61.44682333333334,15.300771666666662
47,-61.446825000000004,15.300768333333336
48,-61.446828040092896,15.30076630887186
49,-61.44683166666667,15.300764999999998
50,-61.446835,15.300763333333334
51,-61.4468396563139,15.300759400081969
52,-61.44684500000001,15.300755000000004
53,-61.44685012607984,15.300752250973188
54,-61.44685499999999,15.30075
55,-61.4468595872071,15.300747094078918
56,-61.446864999999995,15.300743333333328
57,-61.44687235067749,15.300738517886623
58,-61.44688,15.300733333333334
59,-61.44688666666667,15.300728333333339
60,-61.446894498309845,15.30072272627876
61,-61.44690333333334,15.300716666666668
62,-61.44691265220224,15.300710440928789
63,-61.44692166666666,15.300703333333333
64,-61.4469295884767,15.30069462814851
65,-61.44693666666668,15.300685000000003
66,-61.446943333333344,15.300675000000002
67,-61.44695068685114,15.300663887067493
68,-61.446958333333335,15.300651666666667
69,-61.44696569583076,15.300638467775212
70,-61.44697166666668,15.300624999999998
71,-61.44697513816432,15.300611972947912
72,-61.44697666666667,15.300598333333337
73,-61.44697680851671,15.300583027870651
74,-61.446976666666686,15.300566666666672
75,-61.44697734406884,15.300549859828209
76,-61.44697666666667,15.300533333333334
77,-61.446972460403686,15.300517813160107
78,-61.446966666666675,15.300503333333333
79,-61.44696122684242,15.300489927877816
80,-61.446955,15.300476666666665
81,-61.446946845208494,15.300462619573
82,-61.44694,15.300446666666666
83,-61.44693666666666,15.300428333333333
84,-61.4469306337687,15.300411491467907
85,-61.44692333333333,15.300395
86,-61.44691723262772,15.300377072543409
87,-61.44691166666665,15.30035833333333
88,-61.446905970464925,15.300339406604962
89,-61.44690000000002,15.300320000000008
90,-61.44689333333332,15.300299999999998
91,-61.44688430296817,15.300280479643924
92,-61.446873333333336,15.300261666666666
93,-61.44686166666666,15.30024333333333
94,-61.446852542325836,15.300223819864275
95,-61.44684333333334,15.300205
96,-61.44683166666667,15.300188333333333
97,-61.44682230541364,15.300169675198589
98,-61.44681333333333,15.30015
99,-61.44680204033685,15.300130972919408
100,-61.44678999999999,15.300111666666663
101,-61.44677878589859,15.30009115395162
102,-61.44676833333334,15.300069999999998
103,-61.44675857760496,15.30004877003753
104,-61.44674833333334,15.300028333333337
105,-61.44673641513833,15.300009559156546
106,-61.44672333333333,15.299991666666669
107,-61.44670959823168,15.299973875023223
108,-61.44669499999999,15.299956666666665
109,-61.44667999999998,15.29994
110,-61.446668625402076,15.299920730798487
111,-61.44665833333332,15.299899999999996
112,-61.446645909725675,15.299879472579853
113,-61.44663166666669,15.299860000000002
114,-61.446615916243914,15.29984243372239
115,-61.44659999999998,15.299824999999998
116,-61.446585259477544,15.299805925085803
117,-61.44657,15.299786666666668
118,-61.446552526890756,15.299768682429447
119,-61.44653499999999,15.299751666666666
120,-61.446519579177895,15.29973531367084
121,-61.44650499999999,15.299718333333335
122,-61.4464899980418,15.2996994355455
123,-61.44647333333333,15.299681666666665
124,-61.44645500000001,15.299666666666672
125,-61.446442402614366,15.299645997208717
126,-61.44643166666668,15.299623333333335
127,-61.446417683551815,15.299603756470532
128,-61.44640333333334,15.299585000000004
129,-61.44639149607484,15.299564797301457
130,-61.446380000000005,15.299545000000004
131,-61.44636667333259,15.299527459720757
132,-61.446353333333334,15.29951
133,-61.44634179726303,15.299490444374012
134,-61.44633,15.299469999999996
135,-61.44631587642259,15.299449874035158
136,-61.446301666666656,15.29943
137,-61.44628961086805,15.29941031141502
138,-61.44627666666666,15.299391666666668
139,-61.44626,15.299375000000001
140,-61.44624166666668,15.299360000000005
